X1,word,lang,poet,century,text
4480,تلخ,ar,مهدی اخوان ثالث,14,تلخ
502,می‌افتادش,fa,مهدی اخوان ثالث,14,می‌افتادش
943,بخت,fa,مهدی اخوان ثالث,14,بخت
12265,شب,fa,مهدی اخوان ثالث,14,شب
17601,خاطره‌ای,ar,مهدی اخوان ثالث,14,خاطره‌ای
12921,دیوار،,fa,مهدی اخوان ثالث,14,دیوار،
989,یادش,fa,مهدی اخوان ثالث,14,یادش
2573,می‌پنداشتیم,fa,مهدی اخوان ثالث,14,می‌پنداشتیم
841,ور,fa,مهدی اخوان ثالث,14,ور
14634,لحظه,ar,مهدی اخوان ثالث,14,لحظه
9879,چاره,fa,مهدی اخوان ثالث,14,چاره
7527,شکایت‌ها,fa,مهدی اخوان ثالث,14,شکایت‌ها
